fullname,address
Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1953 «Москва-98»,"119607, г. Москва, ул. Удальцова, д.40"
Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» № 1679,"125239, г. Москва, Новопетровская ул., д. 1а"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 422 «Перово»,"111398, г. Москва, Плющева, 13А"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 305,"127410, город Москва, Путевой проезд, д. 10А"
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Образовательный комплекс «Юго-запад»,"117036, г. Москва, улица Дмитрия Ульянова, дом 26"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2073»,"142160 Москва, поселение Вороновское, поселок ЛМС, микрорайон Центральный"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 480 им.В.В.Талалихина,"109029, г. Москва, ул.Средняя Калитниковская, д.22, стр.1"
Негосударственное образовательное учреждение - Гимназия «Московская экономическая школа»,"123022, г. Москва, ул. Заморёнова, 29"
Государственное бюджетное образовательное учреждение города Москвы «Школа № 1987 многопрофильный образовательный комплекс»,"109469, г. Москва, ул. Белореченская, д. 36, корп. 1"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 760 имени А.П.Маресьева»,"129347, г. Москва, Ярославское ш., д.147"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №69 имени Б.Ш.Окуджавы,"123181, г. Москва, ул. Кулакова, д. 2, к. 2"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 86 имени М.Е.Катукова,"123592, г. Москва, ул. Маршала Катукова, д. 12, к. 3"
Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1595,"140008, город Москва, 2-я Вольская улица, дом 7, корпус 2"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа№1929,"115211, г. Москва, ул. Борисовские пруды, д.12, корп. 2"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1694 «Ясенево»,"117593, г. Москва, Литовский бульвар, дом 11, корпус 6"
Государственное бюджетное образовательное учреждение города Москвы лицей № 1511 при «Национальном исследовательском ядерном университете» МИФИ,"115522, г Москва, Пролетарский проспект д. 6, корп. 3"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1825,Юго-Западный район Северное Бутово Куликовская ул. Дом- 3Б
Государственное бюджетное образовательное учреждение города Москвы лицей № 1795 «Лосиноостровский»,"107143, г. Москва, Открытое шоссе, д. 23А"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1247 имени ЮргисаБалтрушайтиса,"105005, г. Москва, Госпитальный переулок, д. 3"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 982 имени Маршала бронетанковых войск П.П.Полубоярова»,"115304, г. Москва, ул.Кошкина, д.13, корп.2"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углублённым изучением отдельных предметов № 978»,"115230, г. Москва, 1-ый Нагатинский пр., д.16"
Государственное автономное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов «Шик 16»,"129223, г. Москва, Мира проспект, д. 123"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 56 имени академика В.А.Легасова,"121151, г. Москва, Кутузовский просп., д.22 корп. 1"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1432 «Новая школа»,"119634, г. Москва, ул.Шолохова, д.19"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» № 1065,"117624, г. Москва, ул.Скобелевская, д.28"
Государственное бюджетное образовательное учреждение города Москвы центр образования № 1311 «Тхия»,"119421, г. Москва, Ленинский проспект, дом 97, корпус 1"
Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический техникум № 2,"125315, г. Москва, Коптевский Б. пр., д. 5"
Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VII вида № 73,"117638, г. Москва, проспект Нахимовский, д. 6"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2051 «Педагогический комплекс»,"111674, г. Москва, просп. Защитников Москвы, д. 9, корп. 2"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1005 «Алые паруса»,"123182, г. Москва, ул. Авиационная, д.71, корп. 3"
Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Политехнический техникум № 13 имени П.А. Овчинникова,"127549, г. Москва, ул.Бибиревская, д.6, корп.1"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1989 «Центр образования»,"109451, г. Москва, ул. Белореченская, д. 45, к. 2"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1393 «Школа РОСТ»,"109507, г. Москва, Ферганский проезд, д. 10, корпус 5"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1877 «Люблино»,"109382, г. Москква, ул. Краснодонская д. 40"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1621 «Школа лидерства Лаудер Эц Хайм»,"107078, г. Москва, Малый Козловский пер., д. 3"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1784 «Кадетская школа»,"125040, г. Москва, улица Скаковая, дом 20, стр. 1"
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Многопрофильный центр образования»,"109263 Москва, улица Шкулёва, дом 13/25, строение 2"
Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования» Бескудниковский»,"127247, г. Москва, Бескудниковский бульвар, д. 50а"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2088 «Грайвороново»,"109518, г. Москва, Волжский бульвар, д. 6, корпус 3"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 686 «Класс-центр»,"Москва, ул. Большая Академическая дом 11а"
