fullname,address
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2070""","142770 Москва, посёлок Коммунарка, Фитарёвская улица, дом 9А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Измайловская гимназия № 1508""","105043, г. Москва, Первомайская улица, 65"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 293 имени А.Т. Твардовского""","129301, г. Москва, ул. Ярославская, д. 27"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 902 ""Диалог""","115404, г. Москва, ул. Ряжская, дом 11"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением иностранного языка № 1293""","121552, г. Москва, ул.Оршанская, д.10, корп.1"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1551""","125364, г. Москва, ул. Свободы, д. 42, корп. 2"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2065""","142784 Москва, улица Атласова, дом 7, корпус 3"
"Государственное бюджетное образовательное учреждение города Москвы лицей № 1525 ""Воробьевы горы""","107140, г. Москва, 2-й Красносельский пер., д 18"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Московская международная гимназия""","111123 Москва, 3-я Владимирская улица, дом 5"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1494""","127427, г. Москва, ул. Большая Марфинская, д. 1, корп. 5"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1413""","127543, г. Москва, Белозерская улица, дом 15"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 49""","117279, г. Москва, ул.Генерала Антонова, дом 4А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2089""","111674, г. Москва, ул.1-я Вольская, д. 9, к.3"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2006""","117216, г. Москва, ул. Грина, дом 18, корпус 3, строение 1"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1636 ""Ника""","115583, г. Москва, Елецкая улица, дом 12 корпус3"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия №1516""","107589, г. Москва, ул. Хабаровская, д.4а"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1034""","115612, г. Москва, ул.Братеевская, д.8, корп.2"
"Государственное бюджетное профессиональное образовательное учреждение города Москвы ""Воробьевы горы""","119334, г. Москва, ул. Косыгина, д. 17"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей № 1367""","109125, г. Москва, ул. Васильцовский стан, д 6."
Государственное бюджетное образовательное учреждение средняя общеобразовательная школа № 1874,"123098, г. Москва, ул. Маршала Новикова, д. 13"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2031""","111675, г. Москва, ул.Дмитриевского, д.13"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением иностранных языков № 1205""","117335, г. Москва, улица Архитектора Власова, дом 19а"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1324""","111396, г. Москва, Федеративный просп., д.27"
"Государственное бюджетное образовательное учреждение города Москвы гимназия № 491 ""Марьино""","109651, г. Москва, Новочеркасский бульвар, дом 19"
Государственное бюджетное образовательное учреждение средняя общеобразовательная школа № 2005,"125466, г. Москва, ул. Родионовская, д. 6/7"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 709""","127204, г. Москва, 9-я Северная линия дом1 корпус2"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2030""","123100, г. Москва, ул.2-ая Звенигородская, д.8"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей № 507""","115446, г. Москва, ул.Садовники, д.12"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1539""","129626, г. Москва, ул. Староалексеевская, дом 1"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1531 ""Лингвистическая"" имени С.К. Годовикова""","129085, г. Москва, ул. Годовикова, д.4, стр. 3"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углублённым изучением английского языка №1228""","111024, г. Москва, Авиамоторная ул, д.42"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1797 ""Богородская""","107258, г. Москва, ул. 3-я Гражданская, д.64"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 285 имени В.А. Молодцова""","127081, г. Москва, Ясный пр., д.21"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2026""","111675, г. Москва, ул. Медведева, дом 6"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2010 имени героя Советского Союза М.П. Судакова,"109559, г. Москва, ул. Белореченская, д. 8"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1747""","125368, г. Москва, 3-й Митинский переулок, д. 12, корп. 1"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1552""","115580, г. Москва, ул.Мусы Джалиля, д.25"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 887""","121467, г. Москва, ул.Молдавская, д.6, корп.2"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия №1591""","111672, г. Москва, ул.Новокосинская, д. 40 А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1503""","129626, г. Москва, ул.Павла Корчагина, д.18"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2083""",
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1400""","121354, г. Москва, Можайское ш., д.38, корп.7"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1353 имени генерала Д.Ф. Алексеева""","124498, г. Москва, Зеленоград Березовая аллея д.8А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1282""","107014, г. Москва, ул. Барболина, д.1"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением иностранного языка и информационных технологий № 1347""","119618, г. Москва, ул.Главмосстроя, д.28"
