fullname,Сайт,Отчёт,Год отчёта,учащихся,Английский_егэ,,Французский_егэ,,Немецкий_егэ,,Русский_егэ,,География_егэ,,Обществознание_егэ,,Литература_егэ,,История_егэ,,Информатика_егэ,,Математика_егэ,,Химия_егэ,,Биология_егэ,,Физика_егэ,,address,lng,lat
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углублённым изучением иностранных языков № 1900""",http://sch1900sz.mskobr.ru,http://sch1900sz.mskobr.ru/files/%20%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8F___2014-2015.pdf,2015,,83,,,,,,79,,,,67,,62,,58,,69,,60,,79,,74,,66,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1352""",http://sch1352v.mskobr.ru/,http://sch1352v.mskobr.ru/files/%20%D0%BE%D1%82%D1%87%D0%B5%D1%82%202015.doc,2015,,71.4,,,,,,78.1,,71,,63.1,,67,,63.5,,51,,58.8,,65,,63,,59,,,,
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2105,http://sch2105c.mskobr.ru,http://sch2105c.mskobr.ru/report/,2014,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 152""",http://sch152s-new.mskobr.ru,http://sch152s-new.mskobr.ru/files/_2015.pdf,2015,,64,,,,,,71,,55,,59,,56,,53,,66,,60.5,,69,,57,,64,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 283""",http://sch283sv-new.mskobr.ru,http://sch283sv-new.mskobr.ru/files/publichnyj_otchyot_2014-1015.pdf,2015,,,,,,,,71.9,,61.4,,59.6,,61.5,,49.9,,62.7,,57.2,,62,,49.4,,58.5,,,,
"Государственное бюджетное общеобразовательное учреждения города Москвы ""Лицей № 1598""",http://lyc1598v.mskobr.ru,http://lyc1598v.mskobr.ru/report/,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1527""",http://gym1527u.mskobr.ru,https://drive.google.com/file/d/0BzwKAhspDhyYMWFaNUk4OTNFVTQ/view,2015,,75,,,,,,81,,,,63,,64,,32,,66,,48,,68,,73,,66,,,,
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1259,http://sch1259.mskobr.ru,http://sch1259.mskobr.ru/files/public.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1279""",http://sch1279.mskobr.ru,http://sch1279.mskobr.ru/files/%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%BE%D1%82%D1%87%D0%B5%D1%82_2015.pdf,2015,,53,,,,,,73,,61,,58,,58,,53,,47,,51,,64,,53,,56,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2070""",http://sch2070.mskobr.ru,http://sch2070.mskobr.ru/files/documents/pub_otchet2013.pdf,2014,,68.88,,,,,,64.02,,53,,52.6,,56.5,,31.7,,51.5,,43.51,,74,,51.6,,45.83,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Измайловская гимназия № 1508""",http://gym1508.mskobr.ru,http://gym1508.mskobr.ru/files/publichnyj_otchet_1508_24_08_15.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 293 имени А.Т. Твардовского""",http://sch293.mskobr.ru,http://sch293.mskobr.ru/files/%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4.doc,2014,,77,,,,,,73,,,,65,,60,,67,,62,,47,,81,,70,,40,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 902 ""Диалог""",http://sch902.mskobr.ru,http://sch902.mskobr.ru/report/,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением иностранного языка № 1293""",http://sch1293.mskobr.ru,http://sch1293.mskobr.ru/files/publichnyj_otchet_2014-2015.docx,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики и информатики № 7,http://sch7uz.mskobr.ru,http://sch7uz.mskobr.ru/files/publichnyj_doklad_obrazovatel_nogo_uchrezhdeniya_27.pdf,2015,,70,,,,,,77.1,,59.5,,61.1,,57.7,,56.2,,55,,62.8,,59.6,,64.8,,63.3,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1551""",http://gym1551sz.mskobr.ru,http://gym1551sz.mskobr.ru/files/itogi_uchebnoo_2013-2014_uch_goda.pdf,2014,,60,,,,,,68,,,,62,,56,,81,,67,,49,,60,,62,,61,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2065""",http://sch2065tn.mskobr.ru,http://sch2065tn.mskobr.ru/files/otchet_o_rezul_tatah_samoobsledovaniya.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное образовательное учреждение города Москвы лицей № 1525 ""Воробьевы горы""",http://lycg1525.mskobr.ru,http://lycg1525.mskobr.ru/files/public_report_2014-20151.pdf,2015,,82,,,,,,81,,59,,66,,63,,58,,59,,63,,74,,64,,48,,,,
Государственное бюджетное образовательное учреждение города Москвы гимназия № 1515,http://gym1515sz.mskobr.ru,http://gym1515sz.mskobr.ru/files/%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%202014-2015.docx.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Московская международная гимназия""",http://gymmg.mskobr.ru,http://gymmg.mskobr.ru/files/publichnyj_doklad_2014-2015.pdf,2015,,88,,,,,,86,,,,70,,72,,64,,40,,62,,79,,80,,59,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1494""",http://sch1494sv.mskobr.ru,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1413""",http://sch1413sv.mskobr.ru,http://sch1413sv.mskobr.ru/files/Publ_doc_2014-2015.pdf,2015,,72,,,,,,70,,53,,56,,58,,49,,50,,46,,58,,49,,64,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 49""",http://sch49uz.mskobr.ru,http://sch49uz.mskobr.ru/files/%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%202014-15_.pdf,2015,,,,,,,,68,,47,,51,,56,,,,,,45,,58,,,,52,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2089""",sch2089uv.mskobr.ru,http://sch2089uv.mskobr.ru/files/%20%D0%BE%D1%82%D1%87%D0%B5%D1%82%202014-2015.pdf,2015,,66,,,,,,71,,62,,61,,62,,64,,57,,57,,60,,55,,59,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2006""",http://sch2006uz.mskobr.ru,http://sch2006uz.mskobr.ru/files/%20%D0%BE%D1%82%D1%87%D0%B5%D1%82%20%D1%81%20%D1%81%D0%BE%D0%B4.pdf,2015,,73,,,,,,77,,,,67,,54,,58,,50,,55,,72,,83,,63,,,,
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1370,http://sch1370sv.mskobr.ru,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1636 ""Ника""",http://gym1636u.mskobr.ru,http://gym1636u.mskobr.ru/files/%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%20%D0%94%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80%D0%B0%202013-2014%281%29.pdf,2014,,61.75,,,,28,,72.74,,,,63.27,,61.2,,55.88,,79.5,,51.33,,70,,86,,63,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия №1516""",http://gym1516.mskobr.ru,http://www.gogi1516.ru/Norm_doc/Publ_doclad2015.pdf,2015,,77,,,,,,79,,89,,75,,68,,57,,72,,64,,67,,74,,62,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1034""",http://sch1034.mskobr.ru,http://sch1034.mskobr.ru/files/%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%20%D0%93%D0%91%D0%9E%D0%A3%20%D0%A8%D0%BA%D0%BE%D0%BB%D0%B0%201034%20%282014-2015%29.pdf,2015,,74,,,,,,77,,63,,65,,68,,60,,62,,54,,69,,64,,56,,,,
"Государственное бюджетное профессиональное образовательное учреждение города Москвы ""Воробьевы горы""",vg.mskobr.ru,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей № 1367""",lyc1367uv.mskobr.ru,http://lyc1367uv.mskobr.ru/files/publichnyj_doklad_po_itogam_2014-2015_uchebnogo_goda.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Государственное бюджетное образовательное учреждение города Москвы гимназия № 1522,http://gym1522.mskobr.ru,http://gym1522.mskobr.ru/files/publichnyj_doklad_2014-20151.pdf,2015,,75.91,,,,,,81,,93,,73,,80,,67,,68,,63,,74,,70,,70,,,,
Государственное бюджетное образовательное учреждение средняя общеобразовательная школа № 1874,http://sch1874sz.mskobr.ru,http://sch1874sz.mskobr.ru/files/novyj_publichnyj_doklad_14-15.pdf,2015,,71.5,,,,,,77.3,,67,,61.9,,69.9,,52.3,,59.8,,59.9,,74,,63.2,,66.3,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2031""",http://sch2031.mskobr.ru/,http://sch2031.mskobr.ru/files/%20%D0%BE%D1%82%D1%87%D0%B5%D1%82%202013-2014_%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D1%8B%D0%B9.pptx,2014,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением иностранных языков № 1205""",http://sch1205uz.mskobr.ru,http://sch1205uz.mskobr.ru/files/%20%D0%BE%D1%82%D1%87%D0%B5%D1%82%202014-2015%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D1%8B%D0%B9%20%D0%B3%D0%BE%D0%B4%20%D0%B2%D0%B0%D1%80%D0%B8%D0%B0%D0%BD%D1%82%203.pdf,2015,,65,,,,,,72,,55,,59,,53,,54,,44,,52,,65,,56,,57,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1324""",http://sch1324.mskobr.ru,http://sch1324.mskobr.ru/files/%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%20%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80%D0%B0%20%D0%BE%D0%BA%D0%BE%D0%BD%D1%87..docx,2015,,66,,,,,,72,,,,57,,68,,51,,52,,52,,54,,52,,57,,,,
"Государственное бюджетное образовательное учреждение города Москвы гимназия № 491 ""Марьино""",http://gym491uv.mskobr.ru,http://gym491uv.mskobr.ru/files/attach_files/publ.pdf,2015,,65,,,,,,74,,93,,58,,69,,55,,70,,43,,65,,58,,50,,,,
Государственное бюджетное образовательное учреждение средняя общеобразовательная школа № 2005,http://sch2005sz.mskobr.ru,http://sch2005sz.mskobr.ru/files/Documents/pubdoc2015.pdf,2015,,76,,,,,,72,,64,,63,,58,,67,,56,,52,,64,,62,,55,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 709""",http://sch709sv.mskobr.ru,http://sch709sv.mskobr.ru/files/publichnyj_doklad_2014_2015_god_709.docx,2015,,76,,,,,,71,,,,58,,66,,51,,61,,50,,45.5,,44,,58,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2030""",http://coc2030.mskobr.ru,http://coc2030.mskobr.ru/files/publichnyi_doklad_po_itogam_20142015.pdf,2015,,81.2,,,,,,79,,66,,69.5,,73.8,,71.7,,68,,63.2,,68.9,,73.2,,72.8,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей № 507""",http://lyc507u.mskobr.ru,http://lyc507u.mskobr.ru/files/publ_doklad.pdf,2014,,77.8,,,,,,60.7,,84,,74.5,,78.1,,63.2,,69.7,,47,,61.9,,53.8,,66.5,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1539""",http://gym1539sv.mskobr.ru,http://gym1539sv.mskobr.ru/files/.%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%20%202014-2015%2B.docx,2015,,75,,,,,,74,,65,,61,,59,,56,,66,,51,,69,,72,,52,,,,
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1449,http://sch1449sv.mskobr.ru,http://sch1449sv.mskobr.ru/files/%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%202015.pdf,2015,,69,,,,,,73,,,,66,,63,,57,,69,,56,,54,,54,,57,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1531 ""Лингвистическая"" имени С.К. Годовикова""",http://gym1531sv.mskobr.ru/,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углублённым изучением английского языка №1228""",http://sch1228.mskobr.ru,http://sch1228.mskobr.ru/files/%20%D0%BE%20%D1%81%D0%B0%D0%BC%D0%BE%D0%BE%D0%B1%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B8%20%D0%93%D0%91%D0%9E%D0%A3%20%D0%A8%D0%BA%D0%BE%D0%BB%D1%8B%20%E2%84%961228%2008.2015%20%D0%B8%D1%82%D0%BE%D0%B3.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1797 ""Богородская""",http://gym1797.mskobr.ru,http://gym1797.mskobr.ru/files/doc_1/publichnyj_doklad_2015_d.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 15»,http://sch15uz.mskobr.ru,http://sch15uz.mskobr.ru/files/publichnyj_otchet_2015.pdf,2015,,62.1,,,,,,74,,77,,55.9,,51.2,,49.1,,57.1,,48,,,,62.1,,57.7,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 285 имени В.А. Молодцова""",http://schsv285.mskobr.ru,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2026""",http://sch2026v.mskobr.ru,http://sch2026v.mskobr.ru/files/%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%202014-2015.docx,2015,,76,,,,,,81.1,,,,69,,,,58,,53,,59,,62,,68,,47,,,,
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2010 имени героя Советского Союза М.П. Судакова,http://sch2010uv.mskobr.ru,http://sch2010uv.mskobr.ru/files/%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%202015_.pdf,2015,,77,,,,,,75,,,,61,,,,52,,62,,75,,67,,72,,55,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1747""",http://sch1747sz.mskobr.ru,http://sch1747sz.mskobr.ru/report/,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1552""",http://gymu1552.mskobr.ru,http://gymu1552.mskobr.ru/files/%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%202015.pdf,2015,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 887""",http://sch887.mskobr.ru,http://sch887.mskobr.ru/files/docs/raznoe/15_16/%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%BE%D1%82%D1%87%D0%B5%D1%82%202014-2015%20%D1%81%20%D0%B2%D0%BE%D1%81%D0%BF.%20%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BE%D0%B9.pdf,2015,,67.5,,,,,,68.8,,63.5,,60.3,,55.6,,48.5,,59.5,,47.4,,57.3,,57.5,,57.6,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия №1591""",http://gym1591.mskobr.ru,http://gym1591.mskobr.ru/files/publichniy_doklad_2014-15.pdf,2015,,78,,,,,,75,,,,60.9,,67,,57,,65.5,,56.6,,64,,65.8,,67,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1503""",http://gym1503.mskobr.ru,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 953,http://co953sv.mskobr.ru,http://co953sv.mskobr.ru/report/,2013,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2083""",http://sch2083.mskobr.ru,http://sch2083.mskobr.ru/files/%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%202014-2015.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1400""",http://sch1400z.mskobr.ru,http://sch1400z.mskobr.ru/files/%20%D0%94%D0%9E%D0%9A%D0%9B%D0%90%D0%94%20%202015%2C%2028.06%281%29.pdf,2015,,71,,,,,,67,,,,54,,,,53,,41,,40,,59,,64,,50,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1353 имени генерала Д.Ф. Алексеева""",http://sch1353zg.mskobr.ru,http://sch1353zg.mskobr.ru/files/PD2014-2015%281%29.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1282""",http://schvu1282.mskobr.ru,http://schvu1282.mskobr.ru/files/%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%201282%202014-2015.pdf,2015,,86,,,,,,81,,68,,71,,71,,60,,69,,58.4,,58,,53.8,,58,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением иностранного языка и информационных технологий № 1347""",http://sch1347.mskobr.ru,http://sch1347.mskobr.ru/files/doc/publichni_doklad/doklad_14-15.pdf,2015,,68,,,,61,,68,,,,55,,61,,58,,47,,46,,57,,61,,53,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1430 имени Героя Социалистического Труда Г.В.Кисунько""",http://sch1430sv-new.mskobr.ru,http://sch1430sv-new.mskobr.ru/files/publichnyj_otchet_za_2014-2015_uchebnyj_god_gbou_shkola_14301.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1284»,http://sch1284.mskobr.ru,http://sch1284.mskobr.ru/report/,2014,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1101""",http://sch1101uz.mskobr.ru,http://sch1101uz.mskobr.ru/files/publichnyj_otchet_2014-2015.pdf,2015,,73.4,,,,56.5,,76.7,,70.7,,65.1,,64.8,,61.1,,70,,61.1,,62.3,,60.9,,56.7,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1637""",http://gym1637.mskobr.ru,http://gym1637.mskobr.ru/files/publichnyy_doklad/publichnyy-doklad-14-15.pdf,2015,,49,,,,,,72,,,,58,,49,,56,,68,,42,,44,,44,,59,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1222 имени Маршала Советского Союза И.Х.Баграмяна""",http://sch1222uv.mskobr.ru/,http://sch1222uv.mskobr.ru/files/%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%202015%20%D1%80%D0%B5%D0%B4%20%D0%BE%D1%82%2009072015.pdf,2015,,40,,,,82,,76,,64,,61,,63,,57,,49,,48,,57,,53,,48,,,,
"Государственное бюджетное образовательное учреждение города Москвы лицей №1793 ""Жулебино""",http://lyc1793uv.mskobr.ru,http://lyc1793uv.mskobr.ru/files/Dokumenti/%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%20%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80%D0%B0%202014-2015.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей № 138""",http://sch138sz.mskobr.ru,http://sch138sz.mskobr.ru/files/publichnyj_doklad_2014-15.pdf,2015,,60,,,,,,68,,52,,52,,55,,60,,64,,42,,58,,54,,55,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2129"" имени Героя Советского Союза П.И.Романова",sch2056uv.mskobr.ru,http://sch2129uv.mskobr.ru/report/,2014,,47,,,,,,64,,,,60,,,,58,,43,,45,,64,,64,,45,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1106""",http://sch1106uz.mskobr.ru,http://sch1106uz.mskobr.ru/files/2014-15_publichnyj_doklad_direktora_gbou_shkola_1106.pdf,2015,,73.5,,,,,,70.8,,87.00,,53.1,,70.8,,51.4,,56.0,,48.9,,60.5,,58.3,,54.7,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1274 имени В.В. Маяковского""",http://gym1274uv.mskobr.ru,http://gym1274uv.mskobr.ru/images/cms/PDF/publichnyj_otchet_za_2013-2014_uchebnyj_god.pdf,2014,,67.9,,,,,,66.3,,71.7,,57.5,,51.2,,60.5,,59.8,,41,,51.7,,,,46.8,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2025""",http://sch2025.mskobr.ru,http://sch2025.mskobr.ru/files/samoobsled_2014_15.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 799,http://sch799v.mskobr.ru,http://sch799v.mskobr.ru/files/_799_2014-2015.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1450 ""Олимп""",http://sch1450u.mskobr.ru,http://sch1450u.mskobr.ru/files/%20%D0%94%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%20%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80%D0%B0%2014-15.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1206,http://sch1206uz.mskobr.ru,http://sch1206uz.mskobr.ru/files/%20%D0%BE%D1%82%D1%87%D0%B5%D1%82%20-%202015.pdf,2015,,82,,,,,,74,,,,58,,63,,55,,60,,54,,64,,52,,52,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1103 имени Героя Российской Федерации А.В.Соломатина""",http://sch1103uz.mskobr.ru,http://sch1103uz.mskobr.ru/files/publichniy_otchet_794_13-14-2.pdf,2014,,53.4,,,,,,64.3,,42,,55.2,,62.8,,40.7,,41.3,,47.5,,50.6,,50.5,,41.5,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 878""",http://sch878u.mskobr.ru,http://sch878u.mskobr.ru/files/%2014-15.pdf,2015,,66,,,,,,74,,61,,61,,65,,58,,50,,48,,62,,60,,53,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1619 имени М.И. Цветаевой""",http://co1619.mskobr.ru,http://co1619.mskobr.ru/report/,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1981""",http://sch1981uz.mskobr.ru,http://sch1981uz.mskobr.ru/files/samoobsledovanie_gbou_shkola_1981_2014-2015.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 947""",http://sch947u.mskobr.ru,http://sch947u.mskobr.ru/files/%20%28%D0%BD%D0%B0%D1%88%29%20%28%D0%B2%D0%B0%D1%80%29.pdf,2014,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1238""",http://sch1238.mskobr.ru,https://drive.google.com/file/d/0B5fArHnrCPDYQy03WmgzMHRBZkE/view,2015,,70,,,,,,72,,,,61,,49,,62,,63,,53,,62,,56,,53,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1499 имени Героя Советского Союза Ивана Архиповича Докукина""",http://co1499sv-new.mskobr.ru,http://co1499sv-new.mskobr.ru/report/,2014,,65.2,,,,,,69.1,,82,,57.3,,54.6,,53.3,,61,,44.6,,40,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа №1173""",http://sch1173.mskobr.ru,http://sch1173.mskobr.ru/files/00-03/2014-2015dir_public_doclad..pdf,2015,,,,,,,,76,,60,,63,,64,,55,,55,,54.3,,60,,54,,57,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением отдельных предметов № 1248""",http://sch1248.mskobr.ru,http://sch1248.mskobr.ru/files/Documenti/%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%202015.pdf,2015,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 2200""",sch1268.mskobr.ru,http://gymnasium2200.mskobr.ru/files/publichniy_doklad/%D0%9F%D0%A3%D0%91%D0%9B%D0%98%D0%A7%D0%9D%D0%AB%D0%99%20%D0%94%D0%9E%D0%9A%D0%9B%D0%90%D0%94%202014-2015%20%D0%BE%D1%82%2030%20%D0%B8%D1%8E%D0%BD%D1%8F%202015%20%D0%B3....pdf,2015,,83.7,,,,,,80,,55,,63,,,,59.3,,40,,42.6,,66.3,,63.8,,62.5,,,,
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1195""",http://sch1195.mskobr.ru,http://sch1195.mskobr.ru/report/,2014,,53.75,,,,,,75.1,,56.5,,58.5,,68.7,,67.85,,63.15,,49.45,,48.7,,65,,51.9,,,,
