fullname,Сайт,Отчёт,Год отчёта,учащихся,Английский_егэ,,Французский_егэ,,Немецкий_егэ,,Русский_егэ,,География_егэ,,Обществознание_егэ,,Литература_егэ,,История_егэ,,Информатика_егэ,,Математика_егэ,,Химия_егэ,,Биология_егэ,,Физика_егэ,,address,lng,lat
"Государственное автономное общеобразовательное учреждение города Москвы ""Центр образования № 548 ""Царицыно""",http://cou548.mskobr.ru,http://cou548.mskobr.ru/files/publicreview2014.pdf,2014,1163,67,,,,,,74,,,,62,,63,,58,,67,,53,,69,,70,,62,,"115582 г.Москва, ул. Домодедовская д35, к.2",37.717115,55.601747
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 171""",http://sch171c.mskobr.ru,http://sch171c.mskobr.ru/files/publichnyj_doklad_direktora.pdf,2014,1253,66,13,,,,,73,87,64,3,57,22,67,4,53,5,59,11,52,87,70,40,71,34,56,22,"119146 г.Москва, 2-ая Фрунзенская ул., д. 7А",37.57943,55.722223
Государственное бюджетное образовательное учреждение города Москвы лицей № 1568 имени Пабло Неруды,lyc1568sv-new.mskobr.ru,http://lyc1568.mskobr.ru/report/,2014,2229,,,,,,,79,,,,,,,,,,,,73,,,,,,,,"127221, г. Москва, проезд Шокальского, дом 7, корпус 2",37.642887,55.874511
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением физики и математики № 2007,http://schuuz2007.mskobr.ru,http://schuuz2007.mskobr.ru/report/,2014,489,70,9,,,,,83,44,,,65,6,,,,,75,23,85,44,,,,,81,36,"117042, г. Москва, ул. Горчакова, д. 9, корп. 1",37.532771,55.544749
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 962,http://sch962sv.mskobr.ru,http://sch962sv.mskobr.ru/files/dokumenty/otchet_za_2014-15_uchebnyj_god_5_08_2015.pdf,2015,2220,80,24,,,,,75,83,100,1,64,53,53,4,62,10,39,10,56,76,59,6,64,9,67,20,"127562, г. Москва, ул. Санникова, д.3, корп.3.",37.592923,55.859494
Федеральное государственное автономное образовательное учреждение высшего профессионального образования «Национальный Исследовательский Ядерный Университет «МИФИ». Предуниверситарий,http://mephi.mskobr.ru,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115409 г. Москва, Каширское ш., 31",37.664384,55.649865
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей № 1557""",http://lyc1557zg.mskobr.ru,http://lyc1557zg.mskobr.ru/files/%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4/%D0%9F%D1%83%D0%B1%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%202014-15_8.pdf,2015,1890,,,,,,,80,,,,,,,,,,,,66,,,,,,,,"124536, г. Москва, Зеленоград, корп. 509",37.231566,55.998
Федеральное государственное автономное образовательное учреждение высшего профессионального образования «Национальный Исследовательский Университет «Высшая Школа Экономики». Лицей «Национального Исследовательского Университета «Высшая Школа Экономики»,http://www.hse.ru,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Москва, Большой Харитоньевский переулок, д. 4",37.643758,55.763594
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 192""",http://sch192uz.mskobr.ru,http://sch192uz.mskobr.ru/files/m-publ2014-2015-2.ppt,2015,1805,68,39,,,,,74,140,60,,58,56,56,12,46,30,69,15,60,109,72,35,73,38,67,36,"119334, г.Москва, Ленинский проспект, д. 34А",37.57484,55.706741
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 218""",http://sch218.mskobr.ru,http://sch218.mskobr.ru/files/publ_otchet_201415.pdf,2015,903,81,,,,,,85,,62,,74,,74,,71,,73,,69,,80,,77,,73,,"127434, г. Москва, Дмитровское шоссе, дом 5 А",37.575298,55.812003
Государственное бюджетное образовательное учреждение города Москвы гимназия № 1518,http://gum1518.mskobr.ru,http://gum1518.mskobr.ru/files/2015_1518_otchet_o_samoobsledovanii.pdf,2015,976,84,,,,,,86,,,,84,,,,87,,75,,74,,71,,70,,76,,"129085, г. Москва, проспект Мира, д. 87",37.634577,55.803762
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского и немецкого языков № 1955,http://sch1955sv.mskobr.ru,http://sch1955sv.mskobr.ru/files/dokumenty/lokal/otchet1314.pdf,2014,2182,64,,,,61,,68.5,,60,,53,,57,,49,,56,,45,,52,,60,,53,,"129345, г. Москва, улица Тайнинская, дом 15, корпус 3",37.683266,55.884822
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1253 с углубленным изучением иностранного языка""",http://sch1253c.mskobr.ru,http://sch1253c.mskobr.ru/files/otchet-o-deyatelynosti-za-2012--2013-god.pdf,2013,1345,91,50,,,,,82,143,,,72,37,77,6,71,10,,,61,143,89,97,86,97,61,8,"119021 г.Москва, Зубовский бульвар, д.5, стр.1",37.592096,55.734471
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей № 1574""",http://lyc1574.mskobr.ru,http://lyc1574.mskobr.ru/files/pupl_doklad_1574-2013-2014.pdf,2014,1557,73,44,,,,,78,94,65,2,75,46,68,1,70,19,67,6,62,94,84,20,84,18,57,23,"125047 г. Москва, 1-я Миусская ул., д.4",37.596965,55.779737
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1528""",http://gym1528zg.mskobr.ru,http://gym1528zg.mskobr.ru/files/1528_samoobsledovanie14_15.pdf,2015,2318,78,,84,,,,75,,58,,61,,62,,54,,51,,50,,60,,56,,57,,"124527, г. Москва, Зеленоград, корп. 817",37.190765,55.976302
Государственное бюджетное образовательное учреждение города Москвы гимназия № 1534,http://gym1534uz.mskobr.ru,http://gym1534uz.mskobr.ru/report/,2014,2265,66.65,37,,,,,74.31,154,71.25,4,64.39,76,60.7,9,50.49,16,69.53,15,56.58,156,68.74,18,70.43,21,61.68,47,"117036, г.Москва, ул.Кедрова, д.11",37.574327,55.685092
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2086,http://sch2086uz.mskobr.ru,http://sch2086uz.mskobr.ru/report/,2015,2270,74,91,77,1,45,2,77,220,63,7,63,107,58,12,53,32,66,32,62,220,63,23,64,34,59,44,"119296 Москва, Университетский проспект д.5",37.551367,55.695824
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1567""",http://gym1567.mskobr.ru,http://gym1567.mskobr.ru/files/dir_otchet_14.doc,2014,700,78.5,,,,,,84,,,,73.8,,72,,71.5,,74.3,,69.25,,81,,85,,66,,"121170 г.Москва, Кутузовский проезд, д.10, стр.1",37.523366,55.741409
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 654 имени А.Д. Фридмана,http://sch654.mskobr.ru,http://st.educom.ru//eduoffices/gateways/get_file.php?id={710DEE58-B2C1-45EE-AAC0-B8FF86877207}&name=%D0%A1amoobsledovanie.pdf,2014,2199,65.02,48,,,,,73.92,183,77.67,9,61.96,90,58.45,11,59.93,28,79.94,17,57.51,183,85,30,75.03,23,66.24,65,"109129, г. Москва, ул. Юных Ленинцев, д. 35, к.2",37.744648,55.700775
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 109""",http://co109.mskobr.ru,http://st.educom.ru//eduoffices/gateways/get_file.php?id={10EF1ED4-D874-4B02-B428-F355CE02EBD4}&name=samoobsledovanie.pdf,2013,1774,73.7,30,95,1,68,6,77.6,,78.3,3,69,45,58.4,11,63.4,19,81,3,55.6,,72.4,9,71.6,10,66.9,7,"117513 г. Москва, ул. Академика Бакулева, д. 20",37.475701,55.640467
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1517""",http://gym1517sz.mskobr.ru,http://gym1517sz.mskobr.ru/report/,2015,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,"123103, г. Москва, ул. Живописная, д. 11, корп. 1",37.453163,55.785078
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением испанского языка № 1252 имени Сервантеса""",http://sch1252.mskobr.ru,http://sch1252.mskobr.ru/files/Doc/Main/pdokl1415.pdf,2015,830,70,10,,,,,79,54,68,2,67,25,70,14,66,13,62,4,55,26,52,6,66,8,54,4,"125080 г. Москва, ул. Дубосековская, д. 3",37.496515,55.809975
