LegalAddress,FullName,ShortName
"115407, г. Москва, ул.Якорная, д.6, корп.1",Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж декоративно-прикладного искусства имени Карла Фаберже»,ГБПОУ КДПИ им. Карла Фаберже
"125466, город Москва, улица Ландышевая, дом 8.",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1985»,ГБОУ Школа № 1985
"127221, г. Москва, проезд Шокальского, дом 7, корпус 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1568 имени Пабло Неруды»,ГБОУ лицей № 1568
"117593, г. Москва, Литовский бульвар дом 3, корпус 3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1206»,ГБОУ школа № 1206
"125222, г. Москва, ул. Пенягинская, д. 14",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1544»,ГБОУ гимназия № 1544
"123100, г. Москва, ул.2-ая Звенигородская, д.8",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2030»,ГБОУ школа № 2030
"117546, г. Москва, Востряковский проезд, д.3 А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1242»,ГБОУ школа № 1242
"115446, г. Москва, ул. Академика Миллионщикова, 20",Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский государственный колледж электромеханики и информационных технологий»,ГБПОУ МГКЭИТ
"111394, г. Москва, ул.Утренняя, д.12",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 2072»,ГБОУ гимназия № 2072
"109451, г. Москва, ул.Верхние поля, д.40, корп.2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1716 «Эврика-Огонек»,ГБОУ школа № 1716 «Эврика-Огонек»
"109338, г. Москва, улица Полбина, дом 44",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1256 имени Героя Советского Союза И.С. Полбина»,ГБОУ школа № 1256
"127474, г. Москва, ул. Дубнинская, д. 7",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1383»,ГБОУ школа № 1383
"107150, г. Москва, ул. Лосиноостровская, д.22а",Государственное казенное общеобразовательное учреждение города Москвы «Кадетская школа-интернат № 5 «Преображенский кадетский корпус»,ГКОУ КШИ № 5
"119571, г. Москва, ул. 26 Бакинских комиссаров, д. 3, корп. 5",Государственное бюджетное общеобразовательное учреждение Московская гимназия на Юго-Западе № 1543,ГБОУ Московская гимназия на Юго-Западе № 1543
