LegalAddress,FullName,ShortName
"111123, г. Москва, ул. 1-я Владимирская, д.20",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Восточный»,ГБОУДО ДТДиМ «Восточный»
"125315, г. Москва, Коптевский Б. пр., д. 5",Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 2»,ГКОУ СКОШИ № 2
"121069, г. Москва, ул. Поварская, д. 14",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 91»,ГБОУ школа № 91
"123154, г. Москва, улица Маршала Тухачевского, дом 20, корп. 1",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Хорошево»,ГБОУ ДО ДТДМ «Хорошево»
"107553, г. Москва, ул.Большая Черкизовская, д.15",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Преображенский»,ГБОУДО «ДТДиМ «Преображенский»
"123242, г. Москва, ул.Дружинниковская, д.9, стр.2",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр развития творчества детей и юношества «Пресня»,ГБОУ ДО ЦРТДЮ «Пресня»
"117218, г. Москва, ул. Большая Черемушкинская, д.38",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Севастополец»,ГБОУ ДО ДТДиМ «Севастополец»
"117303, г. Москва, ул. Одесская, д. 12А","Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Московский детско-юношеский центр экологии, краеведения и туризма»",ГБОУДО МДЮЦ ЭКТ
"109029, г. Москва, ул.Б.Калитниковская, д.36, стр.1",Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж сферы услуг № 3»,ГБПОУ КСУ № 3
"125239, г. Москва, ул.Михалковская, д.13А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1223 «Лингвистический центр»,ГБОУ школа № 1223
"127206, г. Москва, Астрадамская ул., д. 5В",Государственное бюджетное образовательное учреждение города Москвы детский сад присмотра и оздоровления № 766,ГБОУ детский сад № 766
"115569, г. Москва, Шипиловская ул., д. 17, к. 1, стр. 1",Государственное бюджетное профессиональное образовательное учреждение города Москвы «Юридический колледж»,ГБПОУ Юридический колледж
"115093, г. Москва, 1-й Павловский пер., д. 7",Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 79,ГКОУ СКОШИ № 79
"115162, г. Москва, ул. Хавская, д. 5",федеральное государственное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 600»,ФГБОУ СОШ № 600
"124575, г. Москва, Зеленоград, площадь Колумба, д. 1",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Зеленоградский дворец творчества детей и молодежи»,ГБОУДО ЗДТДиМ
"119571, г. Москва, Вернадского пр-т, д.127, корп.2",Государственное бюджетное общеобразовательное учреждение города Москвы «Образовательный центр на проспекте Вернадского»,ГБОУ «Образовательный центр на проспекте Вернадского»
"121433, г. Москва, ул.Малая Филевская, д.52",Государственное бюджетное дошкольное образовательное учреждение города Москвы «Детский сад присмотра и оздоровления № 754 «Солнышко»,ГБДОУ детский сад № 754 «Солнышко»
"111395 г. Москва, ул. Молдагуловой, дом 6 А",Государственное бюджетное образовательное учреждение города Москвы специальная(коррекционная) общеобразовательная школа- интернат VI вида № 31,ГБОУ СКОШИ № 31
"117208, г. Москва, Сумской пр. д.6 Б",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр внешкольной работы «На Сумском»,ГБОУ ДО ЦВР «На Сумском»
"123056, г. Москва, ул.Зоологическая, д.28, стр.1",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1950»,ГБОУ школа № 1950
"123022, г. Москва, ул.Б.Декабрьская., д.9, стр.1",Государственное автономное учреждение города Москвы «Московский центр образовательного права»,ГАУ МЦОП
"115404, г. Москва, ул.6-ая Радиальная, д.10",Государственное бюджетное профессиональное образовательное учреждение города Москвы «Пищевой колледж № 33»,ГБПОУ Пищевой колледж № 33
"125040, г. Москва, ул.Расковой, д.20А, стр.1",Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 52»,ГКОУ СКОШИ № 52
"117525, г. Москва, Днепропетровская улица, дом 25 корпус 1",Государственное бюджетное учреждение города Москвы «Московский городской дом учителя»,ГБУ МГДУ
"123298, г. Москва, ул. Маршала Бирюзова, д. 5",Государственное автономное учреждение дополнительного образования города Москвы «Детский музыкальный театр «Домисолька»,ГАУДО «Домисолька»
"119634, г. Москва, ул. Чоботовская, д.19",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1238»,ГБОУ школа № 1238
"115114, г. Москва, ул.Дербеневская, д.13",Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1553 имени В.И. Вернадского»,ГБОУ лицей № 1553
"127543, г. Москва, Белозерская ул., д.12",Государственное бюджетное общеобразовательное учреждение города Москвы «Государственная столичная гимназия»,ГБОУ ГСГ
"121165, г. Москва, ул. Студенческая, д.29, 27.",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 710 им. Народного учителя СССР В.К. Жудова»,ГБОУ гимназия № 710 им. Народного учителя СССР В.К. Жудова
"125167, г. Москва, Авиационный пер., д. 6",Государственное автономное образовательное учреждение высшего профессионального образования города Москвы «Московский институт открытого образования» (средняя общеобразовательная школа № 179),ГАОУ ВПО МИОО. СОШ № 179
"109240, г. Москва, ул. Солянка, д. 14 А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа межкультурных коммуникаций № 1650»,ГБОУ школа № 1650
"111621, г. Москва, Муромская ул., д.1А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1022»,ГБОУ школа № 1022
"127572, г. Москва, Алтуфьевское шоссе, дом 97, корп. 3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 166»,ГБОУ Школа № 166
"115142, г. Москва, Кленовый б-р, д.21",Государственное бюджетное образовательное учреждение города Москвы лицей № 1523,ГБОУ лицей № 1523
"109145, г. Москва, Пронская ул., д.4, корп.1",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1359 имени авиаконструктора М.Л.Миля»,ГБОУ школа № 1359
"101000, г. Москва, Уланский пер., д.8",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1284»,ГБОУ школа № 1284
"115580, г. Москва, Шипиловская ул. дом 59, корпус 2.",Государственное бюджетное общеобразовательное учреждение города Москвы «Специальная (коррекционная) школа № 991»,ГБОУ Школа № 991
"109451, г. Москва, ул. Белореченская, д. 45, к. 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1989 «Центр образования»,ГБОУ школа № 1989
"109390, г. Москва, 1-ая Текстильщиков ул., д. 5/8",Государственное бюджетное общеобразовательное учреждение города Москвы «Специальная (коррекционная) школа № 482»,ГБОУ школа № 482
"109202, г. Москва, ул. Басовская, д. 7",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 439 «Инженерный лицей «Интеллект»,ГБОУ школа № 439
"124498, г. Москва, Зеленоград Березовая аллея д.8А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1353 имени генерала Д.Ф. Алексеева»,ГБОУ школа № 1353
"111024, г. Москва, Авиамоторная ул., д. 30а корп.1",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1321 «Ковчег»,ГБОУ школа № 1321 «Ковчег»
"119192, г. Москва, ул. Столетова, д. 3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 37»,ГБОУ школа № 37
"109144, г. Москва, Батайский пр., д.47",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1394 «Воспитательно-образовательный центр «На набережной»,ГБОУ школа № 1394
"117246, г. Москва, ул. Херсонская, дом 27 А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 15»,ГБОУ школа № 15
"121351, г. Москва, ул. Партизанская, д.30, корп.2, стр.2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 64»,ГБОУ школа № 64
"125212, г. Москва, Ленинградское шоссе, д. 30",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 744 имени Петра Николаевича Еремеева»,ГБОУ школа № 744 имени Петра Николаевича Еремеева
"121609, г. Москва, Осенний б-р, д.10, корп.3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1440»,ГБОУ школа № 1440
"123458, г. Москва, ул.Таллинская, д.16, корп.4",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1155»,ГБОУ школа № 1155
"117638, г. Москва, проспект Нахимовский, д. 6",Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 73»,ГКОУ СКОШИ № 73
"127206, г. Москва, ул. Вучетича, д.6",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 216»,ГБОУ школа № 216
"119313, г. Москва, ул. Вавилова, д. 84, корп. 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 58»,ГБОУ «Школа № 58»
"115563, г. Москва, Борисовский пр., д.40, корп.3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 438»,ГБОУ школа № 438
"117465, г. Москва, ул. Теплый Стан, дом 13, корпус 3",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1532»,ГБОУ гимназия № 1532
"105005, г. Москва, Госпитальный переулок, д. 3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1247 имени Юргиса Балтрушайтиса»,ГБОУ школа № 1247
"115580, г. Москва, ул.Мусы Джалиля, д.25",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1552»,ГБОУ гимназия № 1552
"129337, г. Москва, Ярославское шоссе, дом ( владение) 8, корп. 6",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1577»,ГБОУ гимназия № 1577
"111673, г. Москва, ул. Суздальская, д. 12В, стр. 1.",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2128 «Энергия»,ГБОУ школа № 2128
"111674, г. Москва, ул.1-я Вольская, д. 9, к.3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2089»,ГБОУ школа № 2089
"125009, г. Москва, Хлыновский туп., д.3, стр.5",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением предметов художественно-эстетического цикла средствами театрального искусства № 123»,ГБОУ школа № 123
"127591, г. Москва, ул. 800-летия Москвы, д. 7а",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 222»,ГБОУ школа № 222
"125212, г. Москва, Лениградское шоссе, д. 54",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 224»,ГБОУ школа № 224
"119634, г. Москва, ул.Лукинская, д.12, корп.1",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением естественных наук № 1376»,ГБОУ «Школа № 1376»
"111395, г. Москва, ул. Красный Казанец, д.3А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 810»,ГБОУ школа № 810
"115407, г. Москва, ул. Судостроительная д. 31, корп. 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1055»,ГБОУ Школа № 1055
"119192, г. Москва, Мичуринский пр-т, д.5, корп.1",Государственное бюджетное общеобразовательное учреждение города Москвы «Шуваловская гимназия № 1448»,ГБОУ Шуваловская гимназия № 1448
"119333, г. Москва, улица Фотиевой, дом 18",Государственное бюджетное образовательное учреждение города Москвы лицей «Вторая школа»,ГБОУ лицей «Вторая школа»
"125319, г. Москва, ул.Усиевича, д.6",Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1575»,ГБОУ лицей № 1575
"117452, г. Москва, Черноморский б-р, д.8",Государственное бюджетное общеобразовательное учреждение города Москвы «Специальная (коррекционная) школа № 567»,ГБОУ школа № 567
"123592, г. Москва, ул. Кулакова, д. 25, кор. 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 705»,ГБОУ школа № 705
"119121, г. Москва, пер. Тружеников 1-ый, д. 18",Государственное казенное общеобразовательное учреждение города Москвы «Школа № 2124 «Центр развития и коррекции»,ГКОУ «Школа № 2124»
"115409, г. Москва, Пролетарский пр-кт, д.7, корп.3",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1579»,ГБОУ гимназия № 1579
"109559, г. Москва, ул. Белореченская, д. 19, корп. 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с этнокультурным татарским компонентом образования № 1186 имени Мусы Джалиля»,ГБОУ школа № 1186 имени М. Джалиля
"109153, г. Москва, ул.Маршала Полубоярова, д.22",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1905»,ГБОУ школа № 1905
"119619, г. Москва, ул.Наро-Фоминская, д.1",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1000»,ГБОУ школа № 1000
"105187, г. Москва, ул. Щербаковская, д. 36А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1947»,ГБОУ школа № 1947
"119454, г. Москва, ул.Лобачевского, д.92",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1973»,ГБОУ школа № 1973
"119618, г. Москва, ул.Главмосстроя, д.28",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного языка и информационных технологий № 1347»,ГБОУ школа № 1347
"107023, г. Москва, Нижний Журавлёв переулок, д.3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением экологии № 446»,ГБОУ школа № 446
"111123, г. Москва, 3-я Владимирская улица дом 5",Государственное бюджетное общеобразовательное учреждение города Москвы «Московская международная гимназия»,ГБОУ ММГ
"117545, г. Москва, ул. Подольских Курсантов, д. 16 А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 657»,ГБОУ школа № 657
"109387, г. Москва, ул. Краснодарская, дом 9",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1143»,ГБОУ школа № 1143
"107014, г. Москва, ул. Большая Остроумовская, дом 7",Государственное бюджетное общеобразовательное учреждение города Москвы «Прогимназия № 1752 в Сокольниках»,ГБОУ прогимназия № 1752
"119421, г. Москва, Ленинский проспект, дом 97, корпус 1",Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования № 1311 «Тхия»,ГБОУ ЦО № 1311 «Тхия»
"117535, г. Москва, ул.Дорожная, д.20А",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1526»,ГБОУ гимназия № 1526
"117630, г. Москва, улица Академика Челомея, дом 6а",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1100»,ГБОУ школа № 1100
"111538, г. Москва, ул. Косинская, д.24А",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1512»,ГБОУ гимназия № 1512
"111401, г. Москва, 3-я Владимирская ул., д.26А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением немецкого языка № 1269»,ГБОУ школа № 1269
"117461, г. Москва, ул.Каховка, д.19, корп.2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 538 имени С.В. Гришина»,ГБОУ школа № 538
"129337, г. Москва, Ярославское шоссе, д. 5строение 2",Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский издательско-полиграфический колледж имени Ивана Федорова»,ГБПОУ «Московский издательско-полиграфический колледж имени Ивана Федорова»
"125364, г. Москва, ул. Свободы, д. 42, корп. 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1551»,ГБОУ гимназия № 1551
"111672, г. Москва, ул.Новокосинская, д. 40 А",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1591»,ГБОУ гимназия № 1591
"111531, г. Москва, шоссе Энтузиастов, дом 100 А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 400»,ГБОУ школа № 400
"124575, г. Москва, Зеленоград, корп.921А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 719»,ГБОУ школа № 719
"115201, г. Москва, Старокаширское ш., д.2, корп.11",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1073»,ГБОУ школа № 1073
"105064, г. Москва, Б. Казенный пер., д. 9",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2095 «Покровский квартал»,ГБОУ школа № 2095
"115470, г. Москва, пр-т Андропова, д.17, корп.5",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1527»,ГБОУ гимназия № 1527
"125130, г. Москва, ул. Зои и Александра Космодемьянских, дом 3, корпус 1",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских»,ГБОУ гимназия № 201
"107370, г. Москва, ул. Бойцовая, д. 6, кор. 8А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 386»,ГБОУ школа № 386
"117041, г. Москва, ул. Адмирала Лазарева, д. 77",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1786»,ГБОУ гимназия № 1786
"119634, г. Москва, ул.Шолохова, д.20",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1018»,ГБОУ школа № 1018
"101000, РФ, г. Москва, пер. Огородная Слобода, д.6, стр.1",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «На Стопани»,ГБОУ ДО ДТДиМ «На Стопани»
"117218, г. Москва, Кржижановского ул., д. 30",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1280»,ГБОУ школа № 1280
"109444, г. Москва, Ташкентская улица, дом 23, корпус 4, строение 1",Государственное бюджетное общеобразовательное учреждение города Москвы «Специальная (коррекционная) школа № 895»,ГБОУ СКШ № 895
"109559, г. Москва, ул. Верхние поля, д. 47, корпус 1",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2012 «Миротворец»,ГБОУ школа № 2012
"127247, г. Москва, Бескудниковский пр., д. 4 Б",Государственное бюджетное общеобразовательное учреждение города Москвы гимназия № 1592 имени Героя Российской Федерации Е.Н. Чернышёва,ГБОУ гимназия № 1592
"111625, г. Москва, ул. Златоустовская, д. 3",Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования № 1602»,ГБОУ ЦО № 1602
"140008, город Москва, 2-я Вольская улица, дом 7, корпус 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1595»,ГБОУ гимназия № 1595
"121170, г. Москва, ул.Дениса Давыдова, д.5",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1726»,ГБОУ школа № 1726
"129337, г. Москва, Хибинский пр-д, д.10",Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж современных технологий имени Героя Советского Союза М.Ф. Панова»,ГБПОУ КСТ
"123592, г. Москва, ул. Кулакова, д.12, к. 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 89 имени А.П. Маресьева»,ГБОУ школа № 89
"127642, город Москва, улица Заповедная, дом 22",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 956»,ГБОУ Школа № 956
"115563, г. Москва, Борисовский пр., д.40, корп.2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 939»,ГБОУ школа № 939
"109544, г. Москва, ул.Рабочая, д.30, стр.1",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дом детского творчества на Таганке»,ГБОУДО «ДДТ на Таганке»
"119634, г. Москва, ул. Чоботовская, д. 5, корп. 1",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр детского творчества «Ново-Переделкино»,ГБОУ ДО ЦДТ «Ново-Переделкино»
"125080, г. Москва, ул. Врубеля, д.6",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 149 имени Героя Советского Союза Ю.Н. Зыкова»,ГБОУ школа № 149
"125368, г. Москва, ул. Барышиха, д. 17, корп. 1",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1944»,ГБОУ школа № 1944
"127411, г. Москва, Дмитровское шоссе, дом 137А",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1631»,ГБОУ школа № 1631
"125413, г. Москва, ул. Зеленоградская, д. 9",Государственное бюджетное общеобразовательное учреждение города Москвы «Кадетская школа № 1702 «Петровский кадетский корпус»,ГБОУ Петровский кадетский корпус
"117303, г. Москва, ул. Одесская, дом 16, корп. 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением восточных языков № 2042 имени Лазаревых»,ГБОУ школа № 2042
"125413, г. Москва, Солнечногорский проезд, д. 7",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1159»,ГБОУ школа № 1159
"117393, г. Москва, ул. Профсоюзная, дом № 62",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа-интернат № 17»,ГБОУ школа-интернат № 17
"105043, г. Москва, 7-я Парковая ул., дом 1 А",Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования № 1483»,ГБОУ ЦО № 1483
"123592, г. Москва, ул. Маршала Катукова, д. 12, к. 3",Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 86 имени М.Е. Катукова»,ГБОУ лицей № 86 имени М.Е. Катукова
"125371, г. Москва, Волоколамское шоссе, дом 112, корп. 3",Государственное бюджетное профессиональное образовательное учреждение города Москвы «Политехнический техникум № 47 имени В.Г. Федорова»,ГБПОУ ПТ № 47
"123458, г. Москва, ул. Твардовского, д. 10, корп. 1",Государственное бюджетное профессиональное образовательное учреждение города Москвы «Техникум малого бизнеса № 67»,ГБПОУ ТМБ № 67
"127282, г. Москва, ул. Широкая, д.1А",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1506»,ГБОУ гимназия № 1506
"109457, г. Москва, ул. Федора Полетаева, д.2, корп.7",Государственное бюджетное профессиональное образовательное учреждение города Москвы «Педагогический колледж № 10»,ГБПОУ ПК № 10
"123423, город Москва, ул. Народного Ополчения, д.16, корп. 4.",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1522»,ГБОУ гимназия № 1522
"117638, г. Москва, Нахимовский проспект, дом 6",Государственное казенное общеобразовательное учреждение города Москвы «Центр инклюзивного образования «Южный»,ГКОУ ЦИО «Южный»
"125430, г. Москва, Пятницкое шоссе, д. 25, корп. 3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1190»,ГБОУ школа № 1190
"121359, г. Москва, ул.Партизанская, д.45",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр внешкольной работы «Синегория»,ГБОУДО ЦВР «Синегория»
"109156, г. Москва, ул. Привольная, 41",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1908»,ГБОУ школа № 1908
"125239, г. Москва, Соболевский проезд, дом 17а",Государственное бюджетное общеобразовательное учреждение города Москвы «Специальное учебно-воспитательное учреждение для обучающихся с девиантным (общественно опасным) поведением № 1»,ГБОУ Спецшкола № 1
"127204, г. Москва, 9-я Северная линия дом1 корпус2",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 709»,ГБОУ школа № 709
"117624, г. Москва, ул.Скобелевская, д.28",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1065»,ГБОУ школа № 1065
"115516, г. Москва, ул. Бехтерева, д.51",Государственное бюджетное общеобразовательное учреждение города Москвы «Специальная (коррекционная) школа № 869»,ГБОУ СКШ № 869
"117452, г. Москва, Чонгарский б-р, д.17",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2016»,ГБОУ школа № 2016
"109507, г. Москва, Ферганский проезд, д. 10, корпус 5",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1393 «Школа РОСТ»,ГБОУ школа № 1393 «Школа РОСТ»
"125124, г. Москва, ул.Правды, д.3А",Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр творческого развития и гуманитарного образования «Поликультурный центр»,ГБОУ ДО ЦТРИГО «Поликультурный центр»
"121614, г. Москва, ул.Крылатская, д.25",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1471»,ГБОУ школа № 1471
"109382, г. Москква, ул. Краснодонская д. 40",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1877 «Люблино»,ГБОУ Школа № 1877 «Люблино»
